,id_usuario,resgate,Ultima_compra,ultimas_compras,numero_ultimas_compras_x,data_impacto,IPT_x,ipt_campanha_x,delta,ipt_impacto_x,delta_resgate_x,IPT_y,ipt_impacto_y,delta_resgate_y,ipt_campanha_y,numero_ultimas_compras_y,delta_ipt,result_rel
414,7126106,2019-05-27T15:29:42.000-03:00,2019-05-24T15:20:08.000-03:00,"28/03/2019,30/04/2019,07/05/2019,21/05/2019,24/05/2019",5,2019-05-27 00:00:00-03:00,14.25,3,-11.25,2,0,14.25,2,0,3,5,0.14035087719298245,0.21052631578947367
415,6684761,2019-05-29T16:03:47.000-03:00,2019-05-24T15:20:42.000-03:00,"01/04/2019,19/05/2019,03/05/2019,04/04/2019,21/05/2019,06/05/2019,10/04/2019,24/05/2019,13/05/2019,11/04/2019,15/05/2019,16/04/2019,16/05/2019,25/04/2019",14,2019-05-27 00:00:00-03:00,4.076923076923077,5,0.9230769230769234,2,2,4.076923076923077,2,2,5,14,0.49056603773584906,1.2264150943396228
416,7248489,2019-05-30T15:35:12.000-03:00,2019-05-24T16:14:17.000-03:00,"09/04/2019,09/05/2019,16/05/2019,24/05/2019",4,2019-05-27 00:00:00-03:00,15.0,5,-10.0,2,3,15.0,2,3,5,4,0.1333333333333333,0.3333333333333333
417,1623080,2019-05-27T15:54:27.000-03:00,2019-05-24T23:09:48.000-03:00,"11/04/2019,24/05/2019,15/04/2019,07/05/2019,08/05/2019,11/05/2019,24/05/2019",7,2019-05-27 00:00:00-03:00,7.166666666666667,2,-5.166666666666667,2,0,7.166666666666667,2,0,2,7,0.2790697674418604,0.27906976744186046
418,3948659,2019-05-27T21:33:16.000-03:00,2019-05-24T02:24:27.000-03:00,"25/04/2019,28/04/2019,07/05/2019,17/05/2019,24/05/2019",5,2019-05-27 00:00:00-03:00,7.25,3,-4.25,2,0,7.25,2,0,3,5,0.27586206896551724,0.41379310344827586
419,5452937,2019-05-30T16:03:07.000-03:00,2019-05-24T15:54:07.000-03:00,"05/04/2019,16/04/2019,24/05/2019",3,2019-05-27 00:00:00-03:00,24.5,6,-18.5,2,3,24.5,2,3,6,3,0.08163265306122447,0.24489795918367346
420,3143487,2019-05-27T17:19:55.000-03:00,2019-05-24T23:01:01.000-03:00,"08/04/2019,10/04/2019,06/05/2019,10/05/2019,15/05/2019,24/05/2019",6,2019-05-27 00:00:00-03:00,9.2,2,-7.199999999999999,2,0,9.2,2,0,2,6,0.21739130434782605,0.2173913043478261
421,1433903,2019-05-28T15:30:43.000-03:00,2019-05-24T17:09:43.000-03:00,"03/04/2019,17/04/2019,26/04/2019,10/05/2019,17/05/2019,24/05/2019",6,2019-05-27 00:00:00-03:00,10.2,3,-7.199999999999999,2,1,10.2,2,1,3,6,0.196078431372549,0.29411764705882354
422,6376937,2019-05-29T16:05:36.000-03:00,2019-05-24T23:48:17.000-03:00,"01/04/2019,16/04/2019,17/05/2019,24/05/2019",4,2019-05-27 00:00:00-03:00,17.666666666666668,4,-13.666666666666668,2,2,17.666666666666668,2,2,4,4,0.1132075471698113,0.22641509433962262
423,2680940,2019-05-28T15:55:04.000-03:00,2019-05-24T15:48:12.000-03:00,"04/04/2019,24/05/2019,05/04/2019,10/04/2019,12/04/2019,26/04/2019,17/05/2019",7,2019-05-27 00:00:00-03:00,8.333333333333334,4,-4.333333333333334,2,1,8.333333333333334,2,1,4,7,0.24,0.48
